国电电力600795.SH,山西汾酒600809.SH,中国电建601669.SH,中煤能源601898.SH,同仁堂600085.SH
2.21,373.63,3.92,4.42,24.38
2.16,385.65,3.92,4.32,25.72
2.17,395,3.99,4.31,25.4
2.17,423.69,3.97,4.74,25.08
2.17,411.99,3.94,4.74,25.31
2.12,388.8,3.85,4.44,24.77
2.12,398.76,3.95,4.74,24.71
2.16,397,4.09,4.82,24.19
2.15,389.2,4.14,4.63,24.5
2.12,371.61,4.05,4.71,24.5
2.13,373.5,4.03,4.63,25.3
2.12,358,4.03,4.54,25.15
2.1,361,3.98,4.46,25.3
2.1,378,3.99,4.5,25.56
2.07,374.56,3.89,4.35,25.17
2.05,391.09,3.86,4.38,24.82
2.06,367.5,3.87,4.32,24.3
2.05,363,3.87,4.33,24.16
2.09,358,3.81,4.16,23.74
2.1,374.42,3.78,4.03,23.63
2.07,377.2,3.8,4.08,24.17
2.06,403,3.82,4,24.29
2.06,404.04,3.72,3.97,24.02
2.04,391.56,3.62,3.87,23.95
2.03,396,3.63,3.82,24.03
2.05,395,3.64,3.86,25.45
2.06,403.22,3.69,3.98,25.83
2.06,443.54,3.71,3.98,25.65
2.08,456,3.77,4.15,26.63
2.11,423.81,3.91,4.24,26.52
2.14,381.43,3.97,4.66,25.76
2.14,372,3.9,4.6,27.65
2.12,346.55,3.89,4.65,26.37
2.14,337,3.96,4.95,26.88
2.09,313.1,3.87,4.99,27
2.11,310.52,3.93,5.06,27
2.13,308.82,3.86,5.12,26.52
2.15,316.52,3.92,5.19,26.54
2.17,301.72,3.9,5.18,26.08
2.16,310.78,3.96,5.08,26.79
2.17,279.7,3.92,5.11,26.32
2.14,257.9,3.99,5.09,26.12
2.14,283.69,3.89,4.99,25.5
2.17,300.99,3.94,5.16,25.56
2.24,312.8,4.03,5.35,25.8
2.22,285.66,4.07,5.37,25.65
2.23,302.03,4.09,5.26,25.73
2.18,306.85,4,5.17,25.53
2.19,322.11,3.98,5.14,25.55
2.25,313,3.92,5.47,25.62
2.37,315.8,4.16,5.47,26.44
2.27,314.91,4.09,5.28,26.47
2.29,318,4.09,5.3,26.48
2.22,318.8,4,5.83,26.9
2.26,335.56,4.04,5.84,26.89
2.27,342.39,4.03,6.35,27.29
2.26,342.35,4,6.23,29.34
2.29,332.8,4.12,6.15,29.95
2.33,342.88,4.12,6.15,30.06
2.34,368.29,4.07,6.12,29.4
2.29,368.1,4.05,6.07,28.94
2.35,346.05,4.07,6.06,28.76
2.28,365,4.02,6.27,28.9
2.28,348,3.99,6.71,29.06
2.3,350.7,3.99,6.41,29.11
2.28,346,3.92,6.35,28.85
