序号,名称,1_max,2_max,1_avg,2_avg,瓶颈距离,一维持续性景观的L1范数,一维持续性景观的L2范数 ,持续熵
1,平安银行000001.SZ,5.384944604,0.842066624,2.830450875,0.842066624,2.692472302,32.57693445,8.444710811,1.592629172
2,万科A000002.SZ,6.51356725,0,4.42173524,0,3.256783625,30.26607764,9.302395871,0.924417484
3,中兴通讯000063.SZ,25.44266905,0,7.716215757,0,12.72133452,99.56213818,34.33672537,0.64902822
4,华侨城A000069.SZ,1.722068968,0.740441039,0.990763221,0.379551521,0.861034484,3.504303592,1.561293876,1.547287995
5,TCL科技000100.SZ,0.280816577,0,0.169120479,0,0.140408288,1.128201587,0.380476807,0.455527026
6,中联重科000157.SZ,0.975925784,0,0.975925784,0,0.487962892,3.764093127,1.315938059,0
7,申万宏源000166.SZ,1.789162554,0.344818575,0.613833612,0.146618267,0.894581277,5.883690872,2.196001173,0.737515446
8,东方盛虹000301.SZ,78.15171866,2.684592285,34.91833687,2.684592285,39.07585933,363.9867326,110.012086,0.988412277
9,美的集团000333.SZ,11.60613092,0,11.60613092,0,5.80306546,44.76422114,15.64970374,0
10,潍柴动力000338.SZ,26.8009245,0,10.42533903,0,13.40046225,63.57366332,26.14892888,1.105091871
11,藏格矿业000408.SZ,2.191227731,0,2.03749382,0,1.095613866,14.72876859,3.781408707,0.690297937
12,徐工机械000425.SZ,1.730729239,0.040853216,0.746351452,0.040853216,0.865364619,10.42431039,2.811990093,1.82052404
13,云南白药000538.SZ,76.86066061,0,50.1513422,0,38.4303303,246.5110513,92.02420361,0.543723817
14,泸州老窖000568.SZ,272.7556162,0,133.0290222,0,136.3778081,1760.108655,458.2621678,1.350420459
15,古井贡酒000596.SZ,1845.240556,155.8405203,425.4648688,90.36800024,922.6202778,5973.993254,2218.473326,1.606456505
16,长安汽车000625.SZ,8.94293158,0,4.704965288,0,4.47146579,55.34447734,14.61352906,1.322501524
17,格力电器000651.SZ,32.20252253,0,21.58428369,0,16.10126127,52.35393049,27.99391589,0.566717742
18,长春高新000661.SZ,2307.031852,0,1487.3779,0,1153.515926,12575.15512,3471.068851,1.002984751
19,中信特钢000708.SZ,30.75375496,8.869059431,11.51980724,4.011616995,15.37687748,79.15588055,32.54949838,1.028039536
